title,title2,genre,ratings,studio,type,rank,members,description,img_url,link
Spy x Family,,"['Action', 'Comedy', 'Childcare', 'Shounen']",8.72,"Wit Studio,             CloverWorks",TV,Ranked #45,"Members 1,115,937","Corrupt politicians, frenzied nationalists, and other warmongering forces constantly jeopardize the thin veneer of peace between neighboring countries Ostania and Westalis. In spite of their plots, renowned spy and master of disguise ""Twilight"" fulfills dangerous missions one after another in the hope that no child will have to experience the horrors of war.

In the bustling Ostanian city of Berlint, Twilight dons the alias of ""Loid Forger,"" an esteemed psychiatrist. However, his true intention is to gather intelligence on prominent politician Donovan Desmond, who only appears rarely in public at his sons' school: the prestigious Eden Academy. Enlisting the help of unmarried city hall clerk Yor Briar to act as his wife and adopting the curious six-year-old orphan Anya as his daughter, Loid enacts his master plan. He will enroll Anya in Eden Academy, where Loid hopes she will excel and give him the opportunity to meet Donovan without arousing suspicion. 

Unfortunately for Loid, even a man of his talents has trouble playing the figure of a loving father and husband. And just like Loid is hiding his true identity, Yor—who is an underground assassin known as ""Thorn Princess""—and Anya—an esper who can read people's minds—have no plans to disclose their own secrets either. Although this picture-perfect family is founded on deception, the Forgers gradually come to understand that the love they share for one another trumps all else.

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1441/122795.jpg,https://myanimelist.net/anime/50265/Spy_x_Family
Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War - Ultra Romantic,"['Comedy', 'Romance', 'Psychological', 'School', 'Seinen']",9.09,A-1 Pictures,TV,Ranked #3,"Members 696,036","The elite members of Shuchiin Academy's student council continue their competitive day-to-day antics. Council president Miyuki Shirogane clashes daily against vice-president Kaguya Shinomiya, each fighting tooth and nail to trick the other into confessing their romantic love. Kaguya struggles within the strict confines of her wealthy, uptight family, rebelling against her cold default demeanor as she warms to Shirogane and the rest of her friends.

Meanwhile, council treasurer Yuu Ishigami suffers under the weight of his hopeless crush on Tsubame Koyasu, a popular upperclassman who helps to instill a new confidence in him. Miko Iino, the newest student council member, grows closer to the rule-breaking Ishigami while striving to overcome her own authoritarian moral code.

As love further blooms at Shuchiin Academy, the student council officers drag their outsider friends into increasingly comedic conflicts.

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1160/122627.jpg,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
Tate no Yuusha no Nariagari Season 2,The Rising of the Shield Hero Season 2,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Isekai']",6.56,"Kinema Citrus,             DR Movie",TV,Ranked #6154,"Members 627,141","With another Wave happening in a week, Naofumi Iwatani and his party have no time to waste. However, when bat familiars raid Lurolona Village and the Wave countdown comes to a halt, the Four Cardinal Heroes reconvene with the queen, Mirelia Q Melromarc, for a quick briefing. The queen presumes that the odd occurrences are linked to the Spirit Tortoise—a threatening creature that has awakened from its slumber, back to cause havoc once again. A plan to put the Spirit Tortoise to rest is devised—but out of the four men, only the cursed Shield Hero agrees to help.

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1143/121873.jpg,https://myanimelist.net/anime/40356/Tate_no_Yuusha_no_Nariagari_Season_2
Kawaii dake ja Nai Shikimori-san,Shikimori's Not Just a Cutie,"['Comedy', 'Romance', 'School']",6.94,Doga Kobo,TV,Ranked #4231,"Members 406,837","Yuu Izumi leads a high school life filled with one mishap after another. No matter how improbable the situation, unfortunate events strike him at every turn. In possession of such terrible luck, Izumi enters his second year with a single wish in mind—to spend more time with his affectionate girlfriend, Micchon Shikimori.

Cute, athletic, and caring, Shikimori is immensely popular at their school. But since they began dating a year ago, Izumi has witnessed a surprising side to his otherwise adorable girlfriend: when the need arises, she turns incredibly cool! His misfortunes are easily avoided when she is there to protect him with an awe-inspiring look on her face. Charming in every way, she never ceases to make his heart skip a beat. Unfortunate as he may be, Izumi is sure to see his days of bad luck end thanks to the cute yet cool Shikimori.

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1995/121695.jpg,https://myanimelist.net/anime/45613/Kawaii_dake_ja_Nai_Shikimori-san
"Komi-san wa, Comyushou desu. 2nd Season",Komi Can't Communicate Season 2,"['Comedy', 'Romantic Subtext', 'School', 'Shounen']",8.12,OLM,TV,Ranked #421,"Members 365,920","After an exciting and momentous cultural festival, Shouko Komi continues her endeavor to make one hundred friends alongside her friend and classmate Hitohito Tadano. As winter begins, the class is joined by the seemingly delinquent student Makoto Katai, who has been absent since the first week of school. Despite his intimidating appearance, Katai has difficulty communicating with others and just wants to befriend his classmates.

As new friendships form and current ones deepen, Komi and Tadano’s relationship begins to change—though not necessarily for the worse.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1108/121157.jpg,https://myanimelist.net/anime/50631/Komi-san_wa_Comyushou_desu_2nd_Season
Summertime Render,Summer Time Rendering,"['Mystery', 'Supernatural', 'Suspense', 'Time Travel', 'Shounen']",8.55,OLM,TV,Ranked #100,"Members 322,670","Since the death of his parents, Shinpei Ajiro had lived with the Kofune family and their two daughters—Mio and Ushio. Although he then left his home island to continue his education in Tokyo, Shinpei returns after Ushio tragically drowns during the attempted rescue of a little girl. During the funeral, his best friend informs him about bruises found around Ushio's neck, casting doubt over the cause of her death.

Suspecting a murder has taken place, Shinpei reevaluates recent events, but strange incidents only continue to transpire. Disappearing people and other unexplainable occurrences lead Mio to recall an old folktale referring to entities called ""Shadows,"" which may not be entirely fantasy. Supposedly, an encounter with one's Shadow foretells the person's impending demise.

Facing the dark side of Hitogashima Island, Shinpei stands against his grim fate to fulfill Ushio's final will—to protect Mio.

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1120/120796.jpg,https://myanimelist.net/anime/47194/Summertime_Render
Tomodachi Game,,"['High Stakes Game', 'Psychological', 'Strategy Game', 'Shounen']",7.71,Okuruto Noboru,TV,Ranked #1127,"Members 267,985","High school student Yuuichi Katagiri cherishes his close circle of friends, composed of four classmates: Yutori Kokorogi, Shiho Sawaragi, Makoto Shibe, and Tenji Mikasa. However, when the funds for the upcoming school trip are stolen, the incident causes Shiho and Makoto—who had been tasked with collecting the money—to distance themselves from the rest of their class.

Soon after, Yuuichi and his friends are deceived into meeting up and knocked unconscious by unknown assailants. After waking, the group find themselves confined in a white room with controversial figure Manabu-kun, who reveals that one of the five has gathered them together to clear their personal debt of twenty million yen. To pay off the amount, they must participate in a variety of psychological games that will test the true nature of their friendship and humanity.

Distressed and isolated from the outside world, Yuuichi and his friends need to cooperate to complete the games. But as their concealed feelings and problematic pasts begin to surface, their seemingly unbreakable bond may soon shatter into irreparable pieces.

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1247/121345.jpg,https://myanimelist.net/anime/50273/Tomodachi_Game
Aharen-san wa Hakarenai,,"['Comedy', 'School', 'Shounen']",7.35,Felix Film,TV,Ranked #2282,"Members 261,358","Beginning his first year of high school, all Matsuboshi Raidou wants is to make friends—starting with the cute, tiny, and soft-spoken Reina Aharen, who sits right next to him in class. Unbeknownst to Raidou, Reina shares the same sentiment, but she has a problem. Awkward and timid, Reina is incapable of determining how chummy she has to be when approaching a person.

Due to Reina's complete inability to gauge personal space, the two struggle to spark their unlikely friendship, as even the simplest tasks like talking seem impossible for them. But despite the countless yet pointless challenges that hinder the pair, the overly imaginative Raidou will do whatever it takes to befriend the indecipherable Reina.

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1612/120636.jpg,https://myanimelist.net/anime/49520/Aharen-san_wa_Hakarenai
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",Skeleton Knight in Another World,"['Action', 'Fantasy', 'Isekai']",7.19,"Studio Kai,             HORNETS",TV,Ranked #3082,"Members 225,102","After falling asleep while playing an online game, a man wakes up and finds himself transported to that game's world as his in-game character, Arc. He wastes no time adjusting to his new environment, but soon realizes that he is using the skeleton avatar he chose when creating his character, which forces him to hide his visage to avoid unwanted attention.

Arc goes to the nearby castle town of Luvierte, hoping to become an adventurer and take on quests to earn money. With his overpowered abilities, Arc embarks on a fantastical journey—exploring diverse territories, looting various monsters, and helping people get out of sticky situations. However, his seemingly innocuous actions may soon involve him in a brewing large-scale conflict that will forever alter the fate of the realm.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1361/120706.jpg,https://myanimelist.net/anime/48760/Gaikotsu_Kishi-sama_Tadaima_Isekai_e_Odekakechuu
Paripi Koumei,Ya Boy Kongming!,"['Comedy', 'Adult Cast', 'Music', 'Reincarnation']",8.22,P.A. Works,TV,Ranked #321,"Members 219,666","Zhuge Kongming earned a reputation as one of the greatest tacticians of the Three Kingdoms period of third-century China. Having led his army through countless grueling victories, Kongming falls gravely ill during the Battle of Wuzhang Plains. The weariness and regret stemming from the seemingly never-ending war catch up to him, and as he draws his final breath, Kongming wishes that if he were to reincarnate, he would be reborn in a more peaceful era.

His wish comes true, and Kongming wakes up in modern-day Tokyo with a younger body and his memories intact. Thrust into an unfamiliar world, he finds his way into a nightclub and meets Eiko Tsukimi, an aspiring singer whose performance immediately captivates him. Pitying his confusion, Eiko takes Kongming under her wing and teaches him about the current world, which leads to Kongming's interest in contemporary music. Seeing Eiko's immense musical potential, Kongming vows to make the world recognize her and soon takes on the role of her manager.

Unsurprisingly, the music industry is unforgiving to those who make even the slightest mistakes. Still, Kongming is determined to accomplish his goals—even if he must utilize the war stratagems he famously used in his previous life!

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1970/122297.jpg,https://myanimelist.net/anime/50380/Paripi_Koumei
