title,title2,genre,ratings,studio,type,rank,members,description,img_url,link
Haikyuu!! To the Top,Haikyu!! To the Top,"['Sports', 'School', 'Team Sports', 'Shounen']",8.36,Production I.G,TV,Ranked #196,"Members 822,816","After their triumphant victory over Shiratorizawa Academy, the Karasuno High School volleyball team has earned their long-awaited ticket to nationals. As preparations begin, genius setter Tobio Kageyama is invited to the All-Japan Youth Training Camp to play alongside fellow nationally recognized players. Meanwhile, Kei Tsukishima is invited to a special rookie training camp for first-years within the Miyagi Prefecture. Not receiving any invitations himself, the enthusiastic Shouyou Hinata feels left behind.

However, Hinata does not back down. Transforming his frustration into self-motivation, he boldly decides to sneak himself into the same rookie training camp as Tsukishima. Even though Hinata only lands himself a job as the ball boy, he comes to see this as a golden opportunity. He begins to not only reflect on his skills as a volleyball player but also analyze the plethora of information available on the court and how he can apply it.

As the much-anticipated national tournament approaches, the members of Karasuno's volleyball team attempt to overcome their weak points and refine their skills, all while aiming for the top!

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1813/105367.jpg,https://myanimelist.net/anime/38883/Haikyuu_To_the_Top
Jibaku Shounen Hanako-kun,Toilet-bound Hanako-kun,"['Comedy', 'Supernatural', 'School', 'Shounen']",7.85,Lerche,TV,Ranked #816,"Members 518,682","The famous ""Seven Wonders"" that every school seems to have are a staple of Japanese urban legends. One of the most well-known of these tales is that of Hanako-san: the ghost of a young girl who haunts the school's bathrooms.

Kamome Academy has its own version of Hanako-san's legend. Rumors claim that if one successfully manages to summon Hanako-san, she will grant her summoner any wish. Lured by the gossip, many people have tried to call upon her, yet every attempt has failed. However, when Nene Yashiro, a girl hoping for romantic fortune, dares to summon Hanako-san, she discovers that the rumored ""girl"" is actually a boy!

After a series of unfortunate events involving Nene's romantic desires, she is unwillingly entangled in the world of the supernatural, becoming Hanako-kun's assistant. Soon, she finds out about Hanako-kun's lesser-known duty: maintaining the fragile balance between mortals and apparitions.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1050/111687.jpg,https://myanimelist.net/anime/39534/Jibaku_Shounen_Hanako-kun
Darwin's Game,,"['Action', 'Mystery', 'Sci-Fi', 'High Stakes Game', 'Super Power', 'Survival', 'Shounen']",7.25,Nexus,TV,Ranked #2751,"Members 490,379","High school student Kaname Sudou receives an invitation from a classmate to play Darwin's Game, a mobile game he has never heard of. However, as soon as he opens the application, a green snake suddenly pops out from his phone screen and bites his neck, leaving him unconscious. Waking up in the infirmary without any signs of a snake bite, he is told by the school to take the rest of the day off. Although he is puzzled by what has happened, he dismisses the surreal experience as a hallucination and boards the train home.

Unfortunately, his curiosity gets the better of him and he uses the application once again. As the application appears to be just like any other battle game, Kaname breathes out a sigh of relief and decides to start his first match. However, the pleasant surprise is short-lived, as his in-game opponent unexpectedly appears right in front of him and attempts to hunt him down with a knife.

As he desperately runs for his life, Kaname puts two and two together and realizes that Darwin's Game is not an ordinary game, but rather, it's a brutal fight for survival.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1016/107222.jpg,https://myanimelist.net/anime/38656/Darwins_Game
Dorohedoro,,"['Action', 'Comedy', 'Fantasy', 'Horror', 'Gore', 'Seinen']",8.06,MAPPA,TV,Ranked #503,"Members 472,063","Hole—a dark, decrepit, and disorderly district where the strong prey on the weak and death is an ordinary occurrence—is all but befitting of the name given to it. A realm separated from law and ethics, it is a testing ground to the magic users who dominate it. As a race occupying the highest rungs of their society, the magic users think of the denizens of Hole as no more than insects. Murdered, mutilated, and made experiments without a second thought, the powerless Hole dwellers litter the halls of Hole's hospital on a daily basis.

Possessing free access to and from the cesspool, and with little challenge to their authority, the magic users appear indomitable to most—aside for a few. Kaiman, more reptile than man, is one such individual. He hunts them on a heedless quest for answers with only a trusted pair of bayonets and his immunity to magic. Cursed by his appearance and tormented by nightmares, magic users are his only clue to restoring his life to normal. With his biggest obstacle being his stomach, his female companion Nikaidou, who runs the restaurant Hungry Bug, is his greatest ally.

Set in a gritty world of hellish design, Dorohedoro manages a healthy blend of comedy and lightheartedness with death and carnage. Taking plenty of twists and turns while following the lives of Hole's residents, it weaves a unique world of unearthly origin and dreary appearance not for the squeamish or easily disturbed.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1740/104786.jpg,https://myanimelist.net/anime/38668/Dorohedoro
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Video Game']",7.55,SILVER LINK.,TV,Ranked #1532,"Members 446,769","After an enthusiastic invitation from her friend, Kaede Honjou reluctantly agrees to try New World Online: a very popular VRMMO played by thousands of people across Japan. Naming her in-game character Maple, she sets out on her journey. As a complete novice to such games, she allocates all of her stat points into vitality, desiring to not get hurt. With not a single point in any other stat, Maple has extraordinarily high defense, but she can't move quickly or hit hard.

This doesn't end badly for her, however. Due to her high defense, Maple acquires overpowered skills such as Total Defense, Poison Immunity, and Devour. These skills, along with the incredibly powerful items she obtains, allow her to obliterate most enemies in a single hit. After only a few days of playing the game, Maple claims third place in a server-wide event, gaining a reputation as a player who is both unkillable and absurdly powerful.

Despite her overpowered character, Kaede has much to learn. As she progresses through the game, she meets new friends and acquaintances, helping her complete new levels and events. Through all of her adventures, she may even pick up some other crazy skills that exceed all expectations.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1579/113812.jpg,https://myanimelist.net/anime/38790/Itai_no_wa_Iya_nano_de_Bougyoryoku_ni_Kyokufuri_Shitai_to_Omoimasu
Ishuzoku Reviewers,Interspecies Reviewers,"['Comedy', 'Fantasy', 'Ecchi', 'Anthropomorphic']",7.45,Passione,TV,Ranked #1872,"Members 433,083","Countless diverse races, from perky fairies to oozing slimes, inhabit the world. Naturally, such a melting pot of creatures has a broad and alluring variety of brothels. With so many options to choose from, it is hard to decide with which succu-girl to have a meaningful, interpersonal experience.

Fortunately, a tight group of brave warriors has come together to enlighten the public. These perverted adventurers take it upon themselves to assess the appeal of all types of succu-girls through hands-on research. Whether it be the scorchingly hot salamanders or the udderly hu-moo-ngous cow-girls, the Yoruno Gloss reviewers leave no species behind.

Directed by the mastermind behind Miru Tights, Ishuzoku Reviewers seeks to answer one of the most pressing questions there is: which species is the sexiest?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1870/105970.jpg,https://myanimelist.net/anime/40010/Ishuzoku_Reviewers
Kyokou Suiri,In/Spectre,"['Mystery', 'Romance', 'Supernatural', 'Mythology', 'Shounen']",6.91,Brain's Base,TV,Ranked #4370,"Members 395,178","Hidden in plain sight, spirits known as youkai inhabit the world. While most are benign, a certain subset threatens the tenuous peace between youkai and humanity. Ever since she agreed to become their ""God of Wisdom,"" Kotoko Iwanaga has served as a mediator between the two realms, resolving any supernatural problems that come her way.

At a local hospital, Kotoko approaches Kurou Sakuragawa, a university student whose long-term relationship ended with an unfortunate breakup. Kotoko harbors feelings for him and suspects that something supernatural lurks within his harmless appearance, so she asks Kurou for his assistance in helping out youkai.

Two years later, news of an idol who was accidentally crushed to death by steel beams flooded the press. However, months later, sightings begin to tell of a faceless woman who wields a steel beam. As is the case for any supernatural problem, Kotoko and her partner set out to stop this spirit from wreaking havoc—but this case may prove to be far more sinister and personal than they could have ever thought.

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1310/117188.jpg,https://myanimelist.net/anime/39017/Kyokou_Suiri
Plunderer,,"['Action', 'Fantasy', 'Romance', 'Ecchi', 'Military', 'Shounen']",6.61,GEEK TOYS,TV,Ranked #5896,"Members 365,017","Alcia is a world governed by ""Count"": numbers engraved on a person's body, representing any number related to their life. These Counts determine a person's social status and power in Alcia. If a Count reaches zero, the person is sent to the Abyss, a place rumored to be worse than death.

Hina, a traveler whose Count is based on the distance she traveled, witnessed her mother get dragged down into the Abyss. Determined to fulfill her mother's last wishes, she sets off on a journey in search of the legendary Aces—heroes of the war that happened three hundred years ago, bearing a white star next to their Count.

While wandering around, Hina encounters Licht Bach, a mysterious masked man with negative Count, and Nana, the owner of a tavern. In the midst of having a good time, Hina is tricked into a battle with a military soldier. However, despite his negative count, Licht rescues Hina and reveals that he has another count, one with a white star, one of a legendary Ace.

Plunderer follows the journey of Hina and other inhabitants of Alcia as they discover the truth about their world, the Abyss, and the legendary Aces.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1534/104784.jpg,https://myanimelist.net/anime/37345/Plunderer
Id:Invaded,,"['Mystery', 'Sci-Fi', 'Adult Cast', 'Detective', 'Psychological']",7.85,NAZ,TV,Ranked #813,"Members 320,172","The Mizuhanome System is a highly advanced development that allows people to enter one of the most intriguing places in existence—the human mind. Through the use of so-called ""cognition particles"" left behind at a crime scene by the perpetrator, detectives from the specialized police squad Kura can manifest a criminal's unconscious mind as a bizarre stream of thoughts in a virtual world. Their task is to explore this psychological plane, called an ""id well,"" to reveal the identity of the culprit.

Not just anyone can enter the id wells; the prerequisite is that you must have killed someone yourself. Such is the case for former detective Akihito Narihisago, who is known as ""Sakaido"" inside the id wells. Once a respected member of the police, tragedy struck, and he soon found himself on the other side of the law.

Nevertheless, Narihisago continues to assist Kura in confinement. While his prodigious detective skills still prove useful toward investigations, Narihisago discovers that not everything is as it seems, as behind the seemingly standalone series of murder cases lurks a much more sinister truth.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1889/105337.jpg,https://myanimelist.net/anime/40046/Id_Invaded
Eizouken ni wa Te wo Dasu na!,Keep Your Hands Off Eizouken!,"['Adventure', 'Award Winning', 'Comedy', 'Otaku Culture', 'School', 'Seinen']",8.14,Science SARU,TV,Ranked #411,"Members 305,192","Midori Asakusa sees the world a bit differently. Always having her nose in a sketchbook, Asakusa draws detailed landscapes and backgrounds of both the world around her and the one within her boundless imagination. Even the simple act of doodling on a wall evolves into an emergency repair on the outer hull of her spaceship. She is only brought back to reality by her best friend Sayaka Kanamori. The pair are stark opposites, with Asakusa's childlike wonder contrasted by Kanamori's calculated approach to life. 

After a chance encounter where the two ""save"" the young model Tsubame Misuzaki from her overprotective bodyguard, a connection instantly sparks between Asakusa and Misuzaki, as both share an intense passion for art and animation. Whereas Asakusa is interested in backgrounds and settings, Misuzaki loves drawing the human form. Sensing a money-making opportunity, Kanamori suggests that they start an animation club, which they disguise as a motion picture club since the school already has an anime club. Thus begins the trio's journey of producing animation that will awe the world. 

From the brilliant mind of Masaaki Yuasa, Eizouken ni wa Te wo Dasu na! is a love letter to animation, wildly creative in its approach, and a testament to the potential of the medium.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1680/110451.jpg,https://myanimelist.net/anime/39792/Eizouken_ni_wa_Te_wo_Dasu_na
