title,title2,genre,ratings,studio,type,rank,members,description,img_url,link
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,Kaguya-sama: Love is War Season 2,"['Comedy', 'Psychological', 'Romantic Subtext', 'School', 'Seinen']",8.65,A-1 Pictures,TV,Ranked #68,"Members 1,170,724","After a slow but eventful summer vacation, Shuchiin Academy's second term is now starting in full force. As August transitions into September, Miyuki Shirogane's birthday looms ever closer, leaving Kaguya Shinomiya in a serious predicament as to how to celebrate it. Furthermore, the tenure of the school's 67th student council is coming to an end. Due to the council members being in different classes, the only time Kaguya and Miyuki have to be together will soon disappear, putting all of their cunning plans at risk.

A long and difficult election that will decide the fate of the new student council awaits, as multiple challengers fight for the coveted title of president.

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1764/106659.jpg,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen
Kami no Tou,Tower of God,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",7.56,Telecom Animation Film,TV,Ranked #1510,"Members 816,677","There is a tower that summons chosen people called ""Regulars"" with the promise of granting their deepest desires. Whether it be wealth, fame, authority, or something that surpasses them all—everything awaits those who reach the top.

Twenty-Fifth Bam is a boy who had only known a dark cave, a dirty cloth, and an unreachable light his entire life. So when a girl named Rachel came to him through the light, his entire world changed. Becoming close friends with Rachel, he learned various things about the outside world from her. But when Rachel says she must leave him to climb the Tower, his world shatters around him. Vowing to follow after her no matter what it takes, he sets his sight on the tower, and a miracle occurs.

Thus begins the journey of Bam, a young boy who was not chosen by the Tower but opened its gates by himself. They call his kind ""Irregulars""—beings that have shaken the very foundation of the Tower each time they set foot inside it.

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1702/106229.jpg,https://myanimelist.net/anime/40221/Kami_no_Tou
Shokugeki no Souma: Gou no Sara,Food Wars! The Fifth Plate,"['Gourmet', 'Ecchi', 'School', 'Shounen']",7.32,J.C.Staff,TV,Ranked #2401,"Members 469,805","Thanks to Souma Yukihira, Erina Nakiri, and the rebel forces overthrowing the regime of Azami Nakiri—the previous school director—and the former Elite Ten, Tootsuki Culinary Academy is back in order. However, its students have one more great battle ahead of them: the BLUE, a competition where young chefs seeking world-class fame compete. Faced with new trials and rivals, Souma and his friends will fight to conquer the BLUE and to defeat Asahi Saiba, the leader of an underworld organization of chefs known as Noir, who once defeated Souma and his father in a Shokugeki.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1756/108000.jpg,https://myanimelist.net/anime/40902/Shokugeki_no_Souma__Gou_no_Sara
Fruits Basket 2nd Season,,"['Drama', 'Romance', 'Supernatural', 'School', 'Shoujo']",8.56,TMS Entertainment,TV,Ranked #94,"Members 433,420","A year has passed since Tooru Honda began living in the Souma residence, and she has since created stronger relationships with its inhabitants Shigure, Kyou, and Yuki. She has also grown closer to the rest of the Souma family and has become familiar with their ancestral secret, having helped them with many of their personal issues. The closer Tooru gets, however, the more she begins to realize that their secret holds a darker truth than she first presumed.

Summer is approaching and Tooru is invited to spend her days with the Soumas, mainly Kyou and Yuki. Tooru wishes for an easy-going vacation, but her close relationships with the two boys and the rest of the Soumas may prove to cause trouble. As they grow more intimate, their carefree time together is hindered by older hardships and feelings from the past that begin to resurface. The Eternal Banquet also dawns on the members of the zodiac, and they must tend to their duties alongside the unnerving head of the family, Akito Souma.

With the banquet approaching and a plethora of feelings to be solved, will Tooru's life with the Soumas remain peaceful, or will she find herself in a situation from which she cannot escape?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1972/111635.jpg,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
Gleipnir,,"['Action', 'Mystery', 'Supernatural', 'Ecchi', 'Seinen']",7.00,Pine Jam,TV,Ranked #3997,"Members 431,416","Shuuichi Kagaya is what one would consider an average high school student, but sometimes, he turns into a monster. He doesn't know how or why he got his abilities, only that he would prefer no one knows about them. One night, he finds a building ablaze with a girl trapped inside. Deciding to save her, he transforms and carries her to safety, but accidentally drops his phone.

The next day, the girl he saved—Claire Aoki—finds him and confronts him about his monster identity. She even goes so far as to push him off the school roof to prove her theory after Shuuichi denies her allegations. Desperate to save himself, he transforms, and Claire snaps a picture in order to blackmail him into telling her everything he knows about monsters, which, ironically, isn't much.

As it turns out, Claire has a secret of her own: she has been searching for her sister, who also became a monster. She enlists Shuuichi's help to track her down, but they aren't the only ones searching for answers.

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1808/111697.jpg,https://myanimelist.net/anime/39463/Gleipnir
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,My Next Life as a Villainess: All Routes Lead to Doom!,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Reincarnation', 'Reverse Harem', 'School', 'Shoujo']",7.48,SILVER LINK.,TV,Ranked #1777,"Members 392,453","Most people would prefer being the protagonist of a world full of adventure, be it in a game or in another world. But, unfortunately, a certain girl is not so lucky. Regaining the memories of her past life, she realizes that she was reborn in the world of Fortune Lover—one of the games she used to play.

Unfortunately, the character she was reincarnated into—Catarina Claes—is the game's main antagonist, who faces utter doom in every ending. Using her extensive knowledge of the game, she takes it upon herself to escape from the chains of this accursed destiny.

However, this will not be an easy feat, especially since she needs to be cautious as to not set off death flags that may speed up the impending doom she is trying to avoid. Even so, to make a change that will affect the lives of everyone around her, she strives—not as the heroine—but as the villainess.

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1483/107061.jpg,https://myanimelist.net/anime/38555/Otome_Game_no_Hametsu_Flag_shika_Nai_Akuyaku_Reijou_ni_Tensei_shiteshimatta
Fugou Keiji: Balance:Unlimited,The Millionaire Detective – Balance: UNLIMITED,"['Mystery', 'Adult Cast', 'Detective']",7.53,CloverWorks,TV,Ranked #1614,"Members 381,181","Daisuke Kanbe, a man of extraordinary wealth, is assigned to the Modern Crime Prevention Headquarters as a detective. It is there that he gets partnered with Haru Katou, a humane detective who values justice above all. The two are polar opposites, and their morals clash time and time again. Haru despises Daisuke for using monetary wealth to solve cases, as he believes that money isn't everything. The two will have to combine their efforts, however, to solve the mysteries that are coming their way.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1066/106556.jpg,https://myanimelist.net/anime/41120/Fugou_Keiji__Balance_Unlimited
BNA,BNA: Brand New Animal,"['Action', 'Fantasy', 'Anthropomorphic', 'Super Power']",7.36,Trigger,TV,Ranked #2229,"Members 329,232","Throughout history, humans have been at odds with Beastmen—a species capable of changing shape due to their genetic ""Beast Factor."" Because of this conflict, Beastmen have been forced into hiding. Anima City serves as a safe haven for these oppressed individuals to live free from human interference.

During a festival celebrating the town's 10th anniversary, Michiru Kagemori, a human who suddenly turned into a tanuki, finds that Anima City is a far cry from paradise. After witnessing an explosion in the square, she is confronted by Shirou Ogami, a seemingly indestructible wolf and sworn protector of all Beastmen. As they pursue the criminals behind the bombing, the two discover that Michiru is anything but an ordinary Beastman, and look to investigate her mysterious past and uncanny abilities. Could she turn out to be the missing link between Humans and Beastmen?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1139/106986.jpg,https://myanimelist.net/anime/40060/BNA
Kakushigoto,,"['Comedy', 'Childcare', 'Gag Humor', 'Otaku Culture', 'Shounen']",7.99,Ajia-Do,TV,Ranked #596,"Members 300,328","Kakushi Gotou is a somewhat popular manga artist whose works are known for inappropriate content. Because of this raunchiness, when his daughter Hime was born, he vowed to keep his profession hidden from her, believing that she will be disillusioned if she finds out. 

This paranoia-induced belief leads Kakushi into hectic situations. Despite being a single father, he does his best and often resorts to extreme ends just to protect his secret, such as guising as a salaryman every day or holding emergency drills in case Hime somehow finds her way to his workplace.

Kakushigoto tells the story of a father and daughter living side by side, maintaining their peaceful existence as the father attempts to preserve the status quo. However, there is a saying: ""there are no secrets that time cannot reveal."" In time, Hime must learn the reality behind the things she took for granted as she grew up.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1048/128385.jpg,https://myanimelist.net/anime/40716/Kakushigoto
Yesterday wo Utatte,"Sing ""Yesterday"" for Me","['Drama', 'Romance', 'Slice of Life', 'Love Polygon', 'Seinen']",6.89,Doga Kobo,TV,Ranked #4458,"Members 283,720","Rikuo Uozumi has all but resigned himself to a bleak future, aimlessly working at a convenience store in Tokyo after graduating from college. His monotonous life is interrupted when the peculiar Haru Nonaka makes a lively appearance, frequently dropping by his workplace to befriend him. When Rikuo learns that an old college friend and crush, Shinako Morinome, has moved back into town, he reaches out to further their relationship. Unbeknownst to Rikuo however, Shinako is carrying painful memories from her past that were holding her back from accepting his feelings. Meanwhile, as Haru continually opens up to Rikuo, he discovers that she, much like him, is living by herself and wants to step out of her comfort zone into an uncertain future.

The past lingers long in the mind, and the future remains elusive. At a crossroads along their intertwined paths, these three experience what it means to let go of their feelings of yesterday and embrace the change that tomorrow brings.

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1553/107721.jpg,https://myanimelist.net/anime/39710/Yesterday_wo_Utatte
Princess Connect! Re:Dive,,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet']",7.05,CygamesPictures,TV,Ranked #3771,"Members 250,844","In the continent of Astraea, a man falls from the sky, possessing no memories other than his name, Yuuki. An elf named Kokkoro finds him, introducing herself as his guide in the world they are about to traverse. With Kokkoro's guidance, Yuuki is able to learn how this world works, from battling monsters to handling currency.

To earn money for their journey, Yuuki and Kokkoro decide to go to a nearby guild association to accept a simple quest. In their expedition, they meet Pecorine, a somewhat gluttonous but charming girl skilled in battle. The next day, they also meet Karyl, a cat girl specializing in magic.

After some time, a bond of friendship and camaraderie forms between them, and the four decide to create a guild of their own. As they continue their adventures, they explore the world, meet new people, and will perhaps uncover the mysteries behind Yuuki's missing memories.

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1810/106070.jpg,https://myanimelist.net/anime/39292/Princess_Connect_Re_Dive
"Hachi-nan tte, Sore wa Nai deshou!",The 8th son? Are you kidding me?,"['Action', 'Fantasy', 'Isekai', 'Reincarnation']",6.25,"SynergySP,             Shin-Ei Animation",TV,Ranked #7936,"Members 201,825","Waking up in a new world, 25-year-old Shingo Ichinomiya realizes that he is in the body of a six-year-old. Retaining memories of his stressful life working at a firm company, Shingo learns that the person he is occupying is Wendelin Von Benno Baumeister, the eighth son of a poor noble family living in the countryside. Awoken to his bizarre situation, Wendelin strives to change his financial and social status for the better. His newly discovered great magical aptitude may prove to be just what he needs to achieve that goal.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1834/110718.jpg,https://myanimelist.net/anime/38830/Hachi-nan_tte_Sore_wa_Nai_deshou
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,Ascendance of a Bookworm Season 2,"['Fantasy', 'Isekai', 'Reincarnation']",8.12,Ajia-Do,TV,Ranked #435,"Members 175,666","When Myne learns that the Holy Church is in need of mana for their relics, she sees it as her chance to be cured of her life-threatening mana disorder. After seeing their bountiful library, she throws herself headfirst into the Church's grasp and begs to join their order. In exchange for her service and her unusually bountiful supply of mana, Myne is given the blue robes of a noble-born apprentice priestess, despite being a commoner. To Myne, all this talk of mana and nobility is trivial, as she now has access to an unlimited supply of books!

As Myne transitions into the next phase of her life in this new world, she soon learns that achieving her dream has come at a heavy cost. Noble society is severe, unforgiving, and fueled by politics and neglect. She must now deal with the class conflict between the noble-born blue robes and the common-born grey robes, the High Priest's attempts to oust her, and constant behavioral issues from her new retainers. With the help of her family, friends, and the enigmatic Head Priest whose loyalties and motives remain unknown, Myne seeks to overcome these obstacles and continue on the path to becoming her ideal self—the ultimate librarian!

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1464/107998.jpg,https://myanimelist.net/anime/40815/Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen_2nd_Season
Appare-Ranman!,,"['Comedy', 'Historical', 'Racing']",7.27,P.A. Works,TV,Ranked #2675,"Members 121,737","No dream is too big for Appare Sorrano, a socially-awkward inventor living in a small rural town in Japan in the late 19th century. Fascinated since childhood by the creation of steamships that can connect people across great distances, he's learned to make machines of all kinds from various scientific texts. His goal is to sail across the sea, beyond the sky, and ultimately, to the other side of the moon.

Unfortunately, through a string of events, Appare finds himself stranded in the middle of the sea on his mini steamship. Floating alongside him is a skilled but cowardly samurai, Kosame Ishikki, who was tasked to keep his eccentric behavior in check. Just when all hope seems lost, a large steamship saves them and takes them to Los Angeles. With no money or plans, they decide to participate in the ""Trans-America Wild Race,"" which gives Appare the chance to build his own automobile, and Kosame the opportunity to use the cash prize to return home. However, against rival racers and unknown challenges residing in the wilderness, just how far will this adventure take Appare and Kosame?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1087/111636.jpg,https://myanimelist.net/anime/40532/Appare-Ranman
Arte,,"['Drama', 'Historical', 'Visual Arts', 'Seinen']",7.18,Seven Arcs,TV,Ranked #3147,"Members 118,355","In the 16th century, the city of Florence booms with cultural and creative revival in celebration of the Renaissance. Arte, a delightful young lady from an aristocratic family, dreams of being an artist and contributing to the renewal of civilization. However, with her father's death, she ends up losing the only person who believed in her passion for art. Now she is expected to marry a nobleman and live as a refined housewife without disgracing her family name. Reluctant to accept her fate, the headstrong Arte steps into the streets in search of a master artisan to take her on as an apprentice.

In her quest for a mentor, Arte has to face harsh reality when she is completely shunned for being a female artist. No one believes that women are capable of fine craftsmanship, and therefore none are willing to accept her. Luckily, a renowned artisan by the name of Leo is persuaded to take her as his disciple since he has none anyway. And thus, Arte's new life begins, far from the comfort of her noble upbringing. As an apprentice, she must earn her keep while tackling various challenges along the difficult path to becoming a full-fledged, master artisan.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1284/106945.jpg,https://myanimelist.net/anime/40128/Arte
Tsugu Tsugumomo,,"['Action', 'Comedy', 'Supernatural', 'Ecchi', 'Harem', 'School', 'Seinen']",7.45,Zero-G,TV,Ranked #1889,"Members 94,500","When ""ordinary boy"" Kagami Kazuya meets the beautiful tsukumogami Kiriha, his life gets turned upside-down. As a ""Taboo Child"" who draws the supernatural towards him, he receives orders from the God of the Land, Kukuri, to become an exorcist and defeat these evil forces. And so, he and Kiriha do battle.

To find out information on these supernatural beings, Kazuya and his friends set up a counselor's club at school. But behind the typical-seeming troubles he hears about, he uncovers a major plot to target Kukuri...

In addition to the sadistic-yet-beautiful tsukumogami Kiriha, the situation draws other girls to Kazuya to join the fray!

(Source: Crunchyroll)",https://cdn.myanimelist.net/images/anime/1997/106184.jpg,https://myanimelist.net/anime/39469/Tsugu_Tsugumomo
Shironeko Project: Zero Chronicle,Shironeko Project ZERO CHRONICLE,"['Action', 'Adventure', 'Fantasy']",5.36,Project No.9,TV,Ranked #11817,"Members 85,007","The world is divided into two kingdoms: the Kingdom of White, which floats in the heavens and is ruled by their queen Iris, and the Kingdom of Black, which stands upon desolate land below and houses the King of Darkness as its ruler. As of late, forces of evil have amassed great power, posing a threat to the entire world. Being the main representative of the Light, it is Iris' duty to maintain the balance of the world and fight off the darkness in her kingdom.

Meanwhile in the Kingdom of Black, rampaging monsters annihilate a certain boy's village, leaving him the sole survivor. As he grieves in hopelessness, an armored man named Skeer notices the child and comforts him. Soon after, Skeer recognizes the boy's potential to change the kingdom's status quo and makes him his heir before passing away. The boy then vows to become the Prince of Darkness—the one who will replace the King—to bring the world back to its rightful path.

As Iris and Prince of Darkness each challenge the impending doom the world faces in their own respective ways, their destinies will converge with each other, and perhaps, their bond will decide the fate of the world.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1072/111360.jpg,https://myanimelist.net/anime/38843/Shironeko_Project__Zero_Chronicle
Kingdom 3rd Season,Kingdom: Season 3,"['Action', 'Historical', 'Military', 'Seinen']",8.82,"Pierrot,             Studio Signpost",TV,Ranked #27,"Members 81,322","Following the successful Sanyou campaign, the Qin army, including 1,000-Man Commander Xin, inches ever closer to fulfilling King Ying Zheng's dream of unifying China. With a major geographical foothold in the state of Wei now under its control, Qin sets its sights eastward toward the remaining warring states.

Meanwhile Li Mu—an unparalleled strategist and the newly appointed prime minister of the state of Zhao—has taken advantage of Zhao's temporary truce with Qin to negotiate with the other states without interruption. Seemingly without warning, Ying Zheng receives news that armies from the states of Chu, Zhao, Wei, Han, Yan, and Qi have crossed into Qin territory. Realizing too late the purpose behind Li Mu's truce with Qin, Zheng quickly gathers his advisors to devise a plan to address the six-state coalition army on their doorstep. For the first time in history, the state of Qin faces complete destruction and must use every resource and strategy at their disposal to prevent themselves from being wiped off the map.

[Written by MAL Rewrite]
",https://cdn.myanimelist.net/images/anime/1443/111830.jpg,https://myanimelist.net/anime/40682/Kingdom_3rd_Season
Nami yo Kiitekure,"Wave, Listen to Me!","['Comedy', 'Drama', 'Romance', 'Adult Cast', 'Showbiz', 'Seinen']",7.35,Sunrise,TV,Ranked #2260,"Members 78,164","Restaurant worker Minare Koda has recently been through a bad breakup. Heartbroken and drunk after a night out, she rants about her misery to a complete stranger—Kanetsugu Matou, a radio station director local to Sapporo, Hokkaido.

The next day at work, Minare is shocked to hear a recording of herself from the previous night playing over the radio. Flustered, she rushes to the radio station in a frenzy to stop the broadcast. As she confronts Matou, a chain of events leads to her giving an impromptu talk live on air, explaining her savage drunken speech. With her energetic voice, she delivers a smooth dialogue with no hesitation, which Matou recognizes as raw talent.

Minare soon becomes a late-night talk show host under Matou's direction, covering amusing narratives set in Sapporo, all while balancing her day job and personal life to make ends meet.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1913/112190.jpg,https://myanimelist.net/anime/40513/Nami_yo_Kiitekure
Listeners,,"['Sci-Fi', 'Mecha', 'Music']",5.37,MAPPA,TV,Ranked #11777,"Members 60,050","Set in a world where the concept of music ceases to exist. The story begins when a boy encounters Myuu, a mysterious girl who possesses an audio input jack in her body. The two intermingle with the history of rock music and embark on an unforgettable journey.

(Source: MAL News)",https://cdn.myanimelist.net/images/anime/1589/106391.jpg,https://myanimelist.net/anime/40165/Listeners
Houkago Teibou Nisshi,Diary of Our Days at the Breakwater,"['Slice of Life', 'Sports', 'CGDCT', 'Iyashikei', 'School', 'Seinen']",7.41,Doga Kobo,TV,Ranked #2045,"Members 56,783","Hina Tsurugi and her family have just moved to a quaint seaside town. Hoping to savor the sight of the peaceful ocean, Hina stumbles upon a girl named Yuuki Kuroiwa—an upperclassman at her new school—who invites Hina to join her in fishing. Hina reels in an octopus, which falls onto her; being afraid of bugs and big creatures, she panics and begs Yuuki to remove it from her. Yuuki sees this as an opportunity to force Hina to join the school's Breakwater Club—a club where members gather, catch, and eat various types of marine life as their main activity.

Although her attempts to refuse to join fail, Hina slowly begins to discover the hidden joy in fishing. Her view on the sport changes, now looking forward to all the delightful experiences she can take part in alongside her fellow club members.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1802/106362.jpg,https://myanimelist.net/anime/39730/Houkago_Teibou_Nisshi
